ID,Interchange Type,Highway Name,Mile Marker,User Responsible,Status,Audited/Verified By,Permalink,Additional Comments
FUTURE,Future,I-65,143,,Do not edit,AyoItsConnor,https://www.waze.com/editor?env=usa&lat=40.08635800535678&lon=-86.50365110975537&zoom=5,Planned interchange to US-52
FUTURE,Future,IN-2,,,Do not edit,AyoItsConnor,https://www.waze.com/editor?env=usa&lat=41.672054552093634&lon=-86.46244416679966&zoom=5,Planned interchange at Larrison Blvd
IC_I265_0,Interchange,I-265,0,,Not Started,,https://www.waze.com/editor?env=usa&lat=38.301935602829026&lon=-85.85138295340714&zoom=5,
IC_I265_1,Interchange,I-265,1,,Not Started,,https://www.waze.com/editor?env=usa&lat=38.310791589027076&lon=-85.84563000009273&zoom=5,
IC_I265_3,Interchange,I-265,3,,Not Started,,https://www.waze.com/editor?env=usa&lat=38.336183049502&lon=-85.8177718011807&zoom=5,
IC_I265_4,Interchange,I-265,4,,Not Started,,https://www.waze.com/editor?env=usa&lat=38.34379574461806&lon=-85.79868495450829&zoom=5,
IC_I265_7,Interchange,I-265,7,,Not Started,,https://www.waze.com/editor?env=usa&lat=38.34564920571738&lon=-85.75404300324625&zoom=5,
IC_I265_7,Interchange,I-265,7,,Not Started,,https://www.waze.com/editor?env=usa&lat=38.34564920571738&lon=-85.75404300324625&zoom=5,
IC_I265_9,Interchange,I-265,9,,Not Started,,https://www.waze.com/editor?env=usa&lat=38.34384888008927&lon=-85.70625713120037&zoom=5,
IC_I265_11,Interchange,I-265,11,,Not Started,,https://www.waze.com/editor?env=usa&lat=38.34928293264244&lon=-85.66722530189809&zoom=5,
IC_I275_16,Interchange,I-275,16,,Not Started,,https://www.waze.com/editor?env=usa&lat=39.12218180912665&lon=-84.83340618778487&zoom=5,
IC_I465_2,Interchange,I-465,2,,Not Started,,https://www.waze.com/editor?env=usa&lat=39.69930866449704&lon=-86.14874064848772&zoom=5,
IC_I465_4,Interchange,I-465,4,,Not Started,,https://www.waze.com/editor?env=usa&lat=39.6958152731797&lon=-86.18652848250551&zoom=5,
IC_I465_5,Interchange,I-465,5,,Not Started,,https://www.waze.com/editor?env=usa&lat=39.69050189512706&lon=-86.20270376517097&zoom=5,
IC_I465_7,Interchange,I-465,7,,Not Started,,https://www.waze.com/editor?env=usa&lat=39.69278109426551&lon=-86.2429701038082&zoom=5,
IC_I465_8,Interchange,I-465,8,,Not Started,,https://www.waze.com/editor?env=usa&lat=39.701985034577106&lon=-86.26099155843771&zoom=5,
IC_I465_9,Interchange,I-465,9,,Not Started,,https://www.waze.com/editor?env=usa&lat=39.71267116851515&lon=-86.2645938330623&zoom=5,
IC_I465_11,Interchange,I-465,11,,Not Started,,https://www.waze.com/editor?env=usa&lat=39.72973392784951&lon=-86.26436226825052&zoom=5,
IC_I465_12,Interchange,I-465,12,,Not Started,,https://www.waze.com/editor?env=usa&lat=39.748422481509934&lon=-86.26444813645347&zoom=5,
IC_I465_13,Interchange,I-465,13,,Not Started,,https://www.waze.com/editor?env=usa&lat=39.76474468294552&lon=-86.26661894102483&zoom=5,
IC_I465_14,Interchange,I-465,14,,Not Started,,https://www.waze.com/editor?env=usa&lat=39.77947796948003&lon=-86.27020570494128&zoom=5,
IC_I465_16,Interchange,I-465,16,,Not Started,,https://www.waze.com/editor?env=usa&lat=39.806783678061656&lon=-86.2752494382227&zoom=5,
IC_I465_17,Interchange,I-465,17,,Not Started,,https://www.waze.com/editor?env=usa&lat=39.82327265518051&lon=-86.2755517728853&zoom=5,
