Interchange_Name,Highway_Name,Mile_Marker,Latitude,Longitude,Permalink
IC_U31_142,US-31,142,40.18942259117672,-86.12795399279723,https://www.waze.com/editor?env=usa&lat=40.18942259117672&lon=-86.12795399279723&zoom=5
FUTURE,N/A,N/A,40.08635800535678,-86.50365110975537,https://www.waze.com/editor?env=usa&lat=40.08635800535678&lon=-86.50365110975537&zoom=5
FUTURE,N/A,N/A,41.672054552093634,-86.46244416679966,https://www.waze.com/editor?env=usa&lat=41.672054552093634&lon=-86.46244416679966&zoom=5
IC_S28_51,IN-28,51,40.2619632855894,-86.65518814554707,https://www.waze.com/editor?env=usa&lat=40.2619632855894&lon=-86.65518814554707&zoom=5
IC_S25_40,IN-25,40,40.45593739042388,-86.8474005679032,https://www.waze.com/editor?env=usa&lat=40.45593739042388&lon=-86.8474005679032&zoom=5
IC_S18_29,IN-18,29,40.60547303299871,-86.97936105660426,https://www.waze.com/editor?env=usa&lat=40.60547303299871&lon=-86.97936105660426&zoom=5
IC_S28_109,IN-28,109,40.27678271593581,-85.55779183966304,https://www.waze.com/editor?env=usa&lat=40.27678271593581&lon=-85.55779183966304&zoom=5
IC_S9_48,IN-9,48,39.8209157087827,-85.76988045326296,https://www.waze.com/editor?env=usa&lat=39.8209157087827&lon=-85.76988045326296&zoom=5
IC_U30_67,US-30,67,41.34961066679914,-86.27356194785543,https://www.waze.com/editor?env=usa&lat=41.34961066679914&lon=-86.27356194785543&zoom=5
IC_U30_65,US-30,65,41.36200980561776,-86.31189717854002,https://www.waze.com/editor?env=usa&lat=41.36200980561776&lon=-86.31189717854002&zoom=5
IC_U20_96,US-20,96,41.65183920702688,-85.94099361058127,https://www.waze.com/editor?env=usa&lat=41.65183920702688&lon=-85.94099361058127&zoom=5
IC_S19_112,IN-19,112,41.631307523210616,-86.0026814506906,https://www.waze.com/editor?env=usa&lat=41.631307523210616&lon=-86.0026814506906&zoom=5
IC_U20_75,US-20,75,41.65358122828122,-86.3219401219168,https://www.waze.com/editor?env=usa&lat=41.65358122828122&lon=-86.3219401219168&zoom=5
IC_U20_44,US-20,44,41.69822705070553,-86.82806443068478,https://www.waze.com/editor?env=usa&lat=41.69822705070553&lon=-86.82806443068478&zoom=5
IC_U24_116,US-24,116,40.89843843967782,-85.46061355705798,https://www.waze.com/editor?env=usa&lat=40.89843843967782&lon=-85.46061355705798&zoom=5
IC_U27_25,US-27,25,39.872080374260776,-84.88851566215398,https://www.waze.com/editor?env=usa&lat=39.872080374260776&lon=-84.88851566215398&zoom=5
IC_U24_77,US-24,77,40.771966953749896,-86.12816351253458,https://www.waze.com/editor?env=usa&lat=40.771966953749896&lon=-86.12816351253458&zoom=5
IC_U20_80,US-20,80,41.62667445656169,-86.21549676045007,https://www.waze.com/editor?env=usa&lat=41.62667445656169&lon=-86.21549676045007&zoom=5
IC_U20_84,US-20,84,41.62422834190604,-86.13804750014961,https://www.waze.com/editor?env=usa&lat=41.62422834190604&lon=-86.13804750014961&zoom=5
IC_U20_92,US-20,92,41.631307523210616,-86.0026814506906,https://www.waze.com/editor?env=usa&lat=41.631307523210616&lon=-86.0026814506906&zoom=5
IC_U20_82,US-20,82,41.62439926424344,-86.1767251619042,https://www.waze.com/editor?env=usa&lat=41.62439926424344&lon=-86.1767251619042&zoom=5
IC_S2_38,IN-2,38,41.45365201860067,-87.02668404697964,https://www.waze.com/editor?env=usa&lat=41.45365201860067&lon=-87.02668404697964&zoom=5
IC_S14_120,IN-14,120,41.074438110365634,-85.2281938700192,https://www.waze.com/editor?env=usa&lat=41.074438110365634&lon=-85.2281938700192&zoom=5
IC_U24_155,US-24,155,41.10357926985409,-84.96302453183664,https://www.waze.com/editor?env=usa&lat=41.10357926985409&lon=-84.96302453183664&zoom=5
IC_U30_11,US-30,11,41.47108237866182,-87.32391016828034,https://www.waze.com/editor?env=usa&lat=41.47108237866182&lon=-87.32391016828034&zoom=5
IC_S14_9,IN-14,9,41.01295793183297,-87.27062706796832,https://www.waze.com/editor?env=usa&lat=41.01295793183297&lon=-87.27062706796832&zoom=5
IC_S2_14,IN-2,14,41.2893233026406,-87.30084635195239,https://www.waze.com/editor?env=usa&lat=41.2893233026406&lon=-87.30084635195239&zoom=5
IC_U20_141,US-20,141,41.634898420705746,-85.04787384925824,https://www.waze.com/editor?env=usa&lat=41.634898420705746&lon=-85.04787384925824&zoom=5
IC_U6_136,US-6,136,41.43959481865083,-85.05349116773712,https://www.waze.com/editor?env=usa&lat=41.43959481865083&lon=-85.05349116773712&zoom=5
IC_S1_61,IN-1,61,39.85291929185368,-85.14445013525895,https://www.waze.com/editor?env=usa&lat=39.85291929185368&lon=-85.14445013525895&zoom=5
IC_S20_45,IN-20,45,41.69378293129815,-86.8103216563262,https://www.waze.com/editor?env=usa&lat=41.69378293129815&lon=-86.8103216563262&zoom=5
IC_U12_24,US-12,24,41.61936715174449,-87.1555590673512,https://www.waze.com/editor?env=usa&lat=41.61936715174449&lon=-87.1555590673512&zoom=5
IC_U12_9,US-12,9,41.62359480723687,-87.43215258180173,https://www.waze.com/editor?env=usa&lat=41.62359480723687&lon=-87.43215258180173&zoom=5
IC_U12_25,US-12,25,41.62058643207445,-87.12136409661456,https://www.waze.com/editor?env=usa&lat=41.62058643207445&lon=-87.12136409661456&zoom=5
IC_U12_6,US-12,6,41.63917875946149,-87.4617258187752,https://www.waze.com/editor?env=usa&lat=41.63917875946149&lon=-87.4617258187752&zoom=5
IC_U20_8,US-20,8,41.60994004448343,-87.46144554937152,https://www.waze.com/editor?env=usa&lat=41.60994004448343&lon=-87.46144554937152&zoom=5
IC_U20_79,US-20,79,41.62433264899151,-86.25146227259141,https://www.waze.com/editor?env=usa&lat=41.62433264899151&lon=-86.25146227259141&zoom=5
IC_U30_26,US-30,26,41.45365201860067,-87.02668404697964,https://www.waze.com/editor?env=usa&lat=41.45365201860067&lon=-87.02668404697964&zoom=5
IC_S3_130,IN-3,130,40.14658844371715,-85.36711539450165,https://www.waze.com/editor?env=usa&lat=40.14658844371715&lon=-85.36711539450165&zoom=5
IC_S2_39,IN-2,39,41.4694954635219,-87.02158137779148,https://www.waze.com/editor?env=usa&lat=41.4694954635219&lon=-87.02158137779148&zoom=5
IC_S3_120,IN-3,120,40.004467040893466,-85.3777984920355,https://www.waze.com/editor?env=usa&lat=40.004467040893466&lon=-85.3777984920355&zoom=5
